Date,DayOfWeek,IsHoliday,Gender,ETU_Admissions,ETU_Discharges,ETU_BedCapacity,ETU_OccupiedBeds,Weather,SpecialEvent,PublicTransportStatus,OutbreakAlert,Shift_ID
2016-01-01,Friday,No,Female,3,1,7,4,Sunny,None,Normal,None,Evening
2016-01-01,Friday,No,Male,0,2,7,4,Sunny,None,Normal,None,Evening
2016-01-01,Friday,No,Female,0,2,7,5,Sunny,None,Normal,None,Morning
2016-01-01,Friday,No,Male,4,1,7,4,Sunny,None,Normal,None,Morning
2016-01-01,Friday,No,Female,0,4,7,3,Sunny,None,Normal,None,Night
2016-01-01,Friday,No,Male,2,1,7,1,Sunny,None,Normal,None,Night
2016-01-02,Saturday,No,Female,1,0,7,4,Sunny,None,Normal,None,Evening
2016-01-02,Saturday,No,Male,2,1,7,3,Sunny,None,Normal,None,Evening
2016-01-02,Saturday,No,Female,0,0,7,3,Sunny,None,Normal,None,Morning
2016-01-02,Saturday,No,Male,0,6,7,2,Sunny,None,Normal,None,Morning
2016-01-02,Saturday,No,Female,1,0,7,3,Sunny,None,Normal,None,Night
2016-01-02,Saturday,No,Male,2,3,7,3,Sunny,None,Normal,None,Night
2016-01-03,Sunday,No,Female,3,2,7,0,Rainy,None,Reduced,None,Evening
2016-01-03,Sunday,No,Male,0,2,7,4,Rainy,None,Reduced,None,Evening
2016-01-03,Sunday,No,Female,1,3,7,1,Rainy,None,Reduced,None,Morning
2016-01-03,Sunday,No,Male,2,2,7,4,Rainy,None,Reduced,None,Morning
2016-01-03,Sunday,No,Female,2,3,7,4,Rainy,None,Reduced,None,Night
2016-01-03,Sunday,No,Male,0,3,7,2,Rainy,None,Reduced,None,Night
2016-01-04,Monday,No,Female,2,1,7,4,Sunny,None,Normal,None,Evening
2016-01-04,Monday,No,Male,1,1,7,2,Sunny,None,Normal,None,Evening
2016-01-04,Monday,No,Female,1,0,7,4,Sunny,None,Normal,None,Morning
2016-01-04,Monday,No,Male,1,0,7,2,Sunny,None,Normal,None,Morning
2016-01-04,Monday,No,Female,0,2,7,5,Sunny,None,Normal,None,Night
2016-01-04,Monday,No,Male,6,1,7,7,Sunny,None,Normal,None,Night
2016-01-05,Tuesday,No,Female,1,4,7,2,Cloudy,None,Normal,None,Evening
2016-01-05,Tuesday,No,Male,2,2,7,4,Cloudy,None,Normal,None,Evening
2016-01-05,Tuesday,No,Female,1,2,7,6,Cloudy,None,Normal,None,Morning
2016-01-05,Tuesday,No,Male,0,1,7,6,Cloudy,None,Normal,None,Morning
2016-01-05,Tuesday,No,Female,0,0,7,5,Cloudy,None,Normal,None,Night
2016-01-05,Tuesday,No,Male,1,2,7,5,Cloudy,None,Normal,None,Night
2016-01-06,Wednesday,No,Female,1,2,7,1,Sunny,None,Normal,None,Evening
2016-01-06,Wednesday,No,Male,4,0,7,4,Sunny,None,Normal,None,Evening
2016-01-06,Wednesday,No,Female,0,0,7,4,Sunny,None,Normal,None,Morning
2016-01-06,Wednesday,No,Male,2,0,7,5,Sunny,None,Normal,None,Morning
2016-01-06,Wednesday,No,Female,1,0,7,3,Sunny,None,Normal,None,Night
2016-01-06,Wednesday,No,Male,3,2,7,2,Sunny,None,Normal,None,Night
2016-01-07,Thursday,No,Female,0,2,7,3,Sunny,None,Normal,None,Evening
2016-01-07,Thursday,No,Male,2,0,7,2,Sunny,None,Normal,None,Evening
2016-01-07,Thursday,No,Female,3,0,7,3,Sunny,None,Normal,None,Morning
2016-01-07,Thursday,No,Male,3,2,7,4,Sunny,None,Normal,None,Morning
2016-01-07,Thursday,No,Female,1,1,7,5,Sunny,None,Normal,None,Night
2016-01-07,Thursday,No,Male,0,3,7,3,Sunny,None,Normal,None,Night
2016-01-08,Friday,No,Female,1,1,7,4,Sunny,None,Normal,None,Evening
2016-01-08,Friday,No,Male,0,2,7,2,Sunny,None,Normal,None,Evening
2016-01-08,Friday,No,Female,2,2,7,2,Sunny,None,Normal,None,Morning
2016-01-08,Friday,No,Male,2,2,7,5,Sunny,None,Normal,None,Morning
2016-01-08,Friday,No,Female,3,1,7,2,Sunny,None,Normal,None,Night
2016-01-08,Friday,No,Male,3,3,7,2,Sunny,None,Normal,None,Night
2016-01-09,Saturday,No,Female,2,0,7,2,Cloudy,None,Normal,None,Evening
2016-01-09,Saturday,No,Male,3,1,7,4,Cloudy,None,Normal,None,Evening
2016-01-09,Saturday,No,Female,0,2,7,3,Cloudy,None,Normal,None,Morning
2016-01-09,Saturday,No,Male,0,2,7,4,Cloudy,None,Normal,None,Morning
2016-01-09,Saturday,No,Female,2,2,7,4,Cloudy,None,Normal,None,Night
2016-01-09,Saturday,No,Male,1,2,7,3,Cloudy,None,Normal,None,Night
2016-01-10,Sunday,No,Female,2,3,7,3,Rainy,None,Normal,None,Evening
2016-01-10,Sunday,No,Male,0,1,7,2,Rainy,None,Normal,None,Evening
2016-01-10,Sunday,No,Female,1,3,7,2,Rainy,None,Normal,None,Morning
2016-01-10,Sunday,No,Male,5,3,7,3,Rainy,None,Normal,None,Morning
2016-01-10,Sunday,No,Female,0,1,7,2,Rainy,None,Normal,None,Night
2016-01-10,Sunday,No,Male,2,1,7,1,Rainy,None,Normal,None,Night
2016-01-11,Monday,No,Female,3,1,7,2,Cloudy,None,Normal,None,Evening
2016-01-11,Monday,No,Male,1,5,7,2,Cloudy,None,Normal,None,Evening
2016-01-11,Monday,No,Female,0,2,7,3,Cloudy,None,Normal,None,Morning
2016-01-11,Monday,No,Male,4,2,7,2,Cloudy,None,Normal,None,Morning
2016-01-11,Monday,No,Female,0,1,7,1,Cloudy,None,Normal,None,Night
2016-01-11,Monday,No,Male,2,0,7,2,Cloudy,None,Normal,None,Night
2016-01-12,Tuesday,No,Female,2,2,7,6,Sunny,None,Normal,None,Evening
2016-01-12,Tuesday,No,Male,1,3,7,4,Sunny,None,Normal,None,Evening
2016-01-12,Tuesday,No,Female,1,0,7,4,Sunny,None,Normal,None,Morning
2016-01-12,Tuesday,No,Male,2,2,7,3,Sunny,None,Normal,None,Morning
2016-01-12,Tuesday,No,Female,0,2,7,5,Sunny,None,Normal,None,Night
2016-01-12,Tuesday,No,Male,1,1,7,4,Sunny,None,Normal,None,Night
2016-01-13,Wednesday,No,Female,4,3,7,5,Rainy,None,Normal,None,Evening
2016-01-13,Wednesday,No,Male,1,2,7,5,Rainy,None,Normal,None,Evening
2016-01-13,Wednesday,No,Female,2,0,7,1,Rainy,None,Normal,None,Morning
2016-01-13,Wednesday,No,Male,3,3,7,2,Rainy,None,Normal,None,Morning
2016-01-13,Wednesday,No,Female,0,2,7,4,Rainy,None,Normal,None,Night
2016-01-13,Wednesday,No,Male,5,1,7,3,Rainy,None,Normal,None,Night
2016-01-14,Thursday,No,Female,0,0,7,3,Cloudy,None,Normal,None,Evening
2016-01-14,Thursday,No,Male,1,3,7,4,Cloudy,None,Normal,None,Evening
2016-01-14,Thursday,No,Female,0,1,7,4,Cloudy,None,Normal,None,Morning
2016-01-14,Thursday,No,Male,2,2,7,3,Cloudy,None,Normal,None,Morning
2016-01-14,Thursday,No,Female,1,1,7,3,Cloudy,None,Normal,None,Night
2016-01-14,Thursday,No,Male,3,3,7,2,Cloudy,None,Normal,None,Night
2016-01-15,Friday,Yes,Female,2,2,7,3,Sunny,Tamil Thai Pongal Day,Normal,None,Evening
2016-01-15,Friday,Yes,Male,1,4,7,2,Sunny,Tamil Thai Pongal Day,Normal,None,Evening
2016-01-15,Friday,Yes,Female,2,1,7,4,Sunny,Tamil Thai Pongal Day,Normal,None,Morning
2016-01-15,Friday,Yes,Male,3,2,7,4,Sunny,Tamil Thai Pongal Day,Normal,None,Morning
2016-01-15,Friday,Yes,Female,1,3,7,2,Sunny,Tamil Thai Pongal Day,Normal,None,Night
2016-01-15,Friday,Yes,Male,4,4,7,2,Sunny,Tamil Thai Pongal Day,Normal,None,Night
2016-01-16,Saturday,No,Female,3,1,7,5,Sunny,None,Normal,None,Evening
2016-01-16,Saturday,No,Male,3,2,7,4,Sunny,None,Normal,None,Evening
2016-01-16,Saturday,No,Female,1,1,7,3,Sunny,None,Normal,None,Morning
2016-01-16,Saturday,No,Male,2,2,7,2,Sunny,None,Normal,None,Morning
2016-01-16,Saturday,No,Female,0,2,7,3,Sunny,None,Normal,None,Night
2016-01-16,Saturday,No,Male,2,2,7,3,Sunny,None,Normal,None,Night
2016-01-17,Sunday,No,Female,1,2,7,3,Rainy,None,Normal,None,Evening
2016-01-17,Sunday,No,Male,5,1,7,3,Rainy,None,Normal,None,Evening
2016-01-17,Sunday,No,Female,2,0,7,2,Rainy,None,Normal,None,Morning
2016-01-17,Sunday,No,Male,4,3,7,3,Rainy,None,Normal,None,Morning
2016-01-17,Sunday,No,Female,3,2,7,1,Rainy,None,Normal,None,Night
2016-01-17,Sunday,No,Male,3,0,7,0,Rainy,None,Normal,None,Night
2016-01-18,Monday,No,Female,2,1,7,4,Sunny,None,Normal,None,Evening
2016-01-18,Monday,No,Male,1,2,7,2,Sunny,None,Normal,None,Evening
2016-01-18,Monday,No,Female,1,1,7,2,Sunny,None,Normal,None,Morning
2016-01-18,Monday,No,Male,1,2,7,3,Sunny,None,Normal,None,Morning
2016-01-18,Monday,No,Female,1,1,7,1,Sunny,None,Normal,None,Night
2016-01-18,Monday,No,Male,0,3,7,4,Sunny,None,Normal,None,Night
2016-01-19,Tuesday,No,Female,0,2,7,5,Sunny,None,Normal,None,Evening
2016-01-19,Tuesday,No,Male,1,0,7,6,Sunny,None,Normal,None,Evening
2016-01-19,Tuesday,No,Female,2,1,7,6,Sunny,None,Normal,None,Morning
2016-01-19,Tuesday,No,Male,0,1,7,6,Sunny,None,Normal,None,Morning
2016-01-19,Tuesday,No,Female,1,2,7,6,Sunny,None,Normal,None,Night
2016-01-19,Tuesday,No,Male,5,2,7,5,Sunny,None,Normal,None,Night
2016-01-20,Wednesday,No,Female,4,3,7,2,Sunny,None,Normal,None,Evening
2016-01-20,Wednesday,No,Male,0,3,7,3,Sunny,None,Normal,None,Evening
2016-01-20,Wednesday,No,Female,0,2,7,3,Sunny,None,Normal,None,Morning
2016-01-20,Wednesday,No,Male,1,1,7,3,Sunny,None,Normal,None,Morning
2016-01-20,Wednesday,No,Female,3,3,7,3,Sunny,None,Normal,None,Night
2016-01-20,Wednesday,No,Male,1,1,7,2,Sunny,None,Normal,None,Night
2016-01-21,Thursday,No,Female,0,1,7,4,Sunny,None,Normal,None,Evening
2016-01-21,Thursday,No,Male,1,0,7,3,Sunny,None,Normal,None,Evening
2016-01-21,Thursday,No,Female,1,1,7,3,Sunny,None,Normal,None,Morning
2016-01-21,Thursday,No,Male,4,1,7,5,Sunny,None,Normal,None,Morning
2016-01-21,Thursday,No,Female,0,1,7,6,Sunny,None,Normal,None,Night
2016-01-21,Thursday,No,Male,0,3,7,5,Sunny,None,Normal,None,Night
2016-01-22,Friday,No,Female,1,2,7,2,Sunny,None,Normal,None,Evening
2016-01-22,Friday,No,Male,2,0,7,5,Sunny,None,Normal,None,Evening
2016-01-22,Friday,No,Female,2,0,7,3,Sunny,None,Normal,None,Morning
2016-01-22,Friday,No,Male,3,0,7,2,Sunny,None,Normal,None,Morning
2016-01-22,Friday,No,Female,2,0,7,4,Sunny,None,Normal,None,Night
2016-01-22,Friday,No,Male,2,3,7,3,Sunny,None,Normal,None,Night
2016-01-23,Saturday,Yes,Female,3,1,7,3,Sunny,Duruthu Full Moon Poya Day,Normal,None,Evening
2016-01-23,Saturday,Yes,Male,4,2,7,4,Sunny,Duruthu Full Moon Poya Day,Normal,None,Evening
2016-01-23,Saturday,Yes,Female,1,2,7,5,Sunny,Duruthu Full Moon Poya Day,Normal,None,Morning
2016-01-23,Saturday,Yes,Male,0,0,7,3,Sunny,Duruthu Full Moon Poya Day,Normal,None,Morning
2016-01-23,Saturday,Yes,Female,0,0,7,6,Sunny,Duruthu Full Moon Poya Day,Normal,None,Night
2016-01-23,Saturday,Yes,Male,3,5,7,1,Sunny,Duruthu Full Moon Poya Day,Normal,None,Night
2016-01-24,Sunday,No,Female,1,2,7,4,Rainy,None,Normal,None,Evening
2016-01-24,Sunday,No,Male,1,2,7,3,Rainy,None,Normal,None,Evening
2016-01-24,Sunday,No,Female,0,1,7,4,Rainy,None,Normal,None,Morning
2016-01-24,Sunday,No,Male,0,6,7,3,Rainy,None,Normal,None,Morning
2016-01-24,Sunday,No,Female,2,0,7,2,Rainy,None,Normal,None,Night
2016-01-24,Sunday,No,Male,0,4,7,3,Rainy,None,Normal,None,Night
2016-01-25,Monday,No,Female,2,1,7,5,Sunny,None,Normal,MeaslesAlert,Evening
2016-01-25,Monday,No,Male,3,6,7,3,Sunny,None,Normal,MeaslesAlert,Evening
2016-01-25,Monday,No,Female,0,2,7,4,Sunny,None,Normal,MeaslesAlert,Morning
2016-01-25,Monday,No,Male,5,1,7,3,Sunny,None,Normal,MeaslesAlert,Morning
2016-01-25,Monday,No,Female,2,0,7,3,Sunny,None,Normal,MeaslesAlert,Night
2016-01-25,Monday,No,Male,4,2,7,4,Sunny,None,Normal,MeaslesAlert,Night
2016-01-26,Tuesday,No,Female,2,0,7,4,Rainy,None,Normal,None,Evening
2016-01-26,Tuesday,No,Male,3,1,7,6,Rainy,None,Normal,None,Evening
2016-01-26,Tuesday,No,Female,1,2,7,5,Rainy,None,Normal,None,Morning
2016-01-26,Tuesday,No,Male,2,2,7,3,Rainy,None,Normal,None,Morning
2016-01-26,Tuesday,No,Female,0,1,7,7,Rainy,None,Normal,None,Night
2016-01-26,Tuesday,No,Male,4,3,7,5,Rainy,None,Normal,None,Night
2016-01-27,Wednesday,No,Female,0,0,7,4,Sunny,None,Normal,None,Evening
2016-01-27,Wednesday,No,Male,2,1,7,4,Sunny,None,Normal,None,Evening
2016-01-27,Wednesday,No,Female,1,1,7,2,Sunny,None,Normal,None,Morning
2016-01-27,Wednesday,No,Male,1,0,7,2,Sunny,None,Normal,None,Morning
2016-01-27,Wednesday,No,Female,0,0,7,5,Sunny,None,Normal,None,Night
2016-01-27,Wednesday,No,Male,2,1,7,3,Sunny,None,Normal,None,Night
2016-01-28,Thursday,No,Female,2,0,7,4,Cloudy,None,Normal,None,Evening
2016-01-28,Thursday,No,Male,0,2,7,5,Cloudy,None,Normal,None,Evening
2016-01-28,Thursday,No,Female,2,2,7,2,Cloudy,None,Normal,None,Morning
2016-01-28,Thursday,No,Male,1,2,7,2,Cloudy,None,Normal,None,Morning
2016-01-28,Thursday,No,Female,0,1,7,4,Cloudy,None,Normal,None,Night
2016-01-28,Thursday,No,Male,4,3,7,4,Cloudy,None,Normal,None,Night
2016-01-29,Friday,No,Female,0,0,7,2,Cloudy,None,Normal,None,Evening
2016-01-29,Friday,No,Male,1,1,7,3,Cloudy,None,Normal,None,Evening
2016-01-29,Friday,No,Female,1,2,7,4,Cloudy,None,Normal,None,Morning
2016-01-29,Friday,No,Male,4,1,7,3,Cloudy,None,Normal,None,Morning
2016-01-29,Friday,No,Female,2,1,7,2,Cloudy,None,Normal,None,Night
2016-01-29,Friday,No,Male,0,3,7,5,Cloudy,None,Normal,None,Night
2016-01-30,Saturday,No,Female,1,1,7,5,Sunny,None,Normal,None,Evening
2016-01-30,Saturday,No,Male,1,1,7,2,Sunny,None,Normal,None,Evening
2016-01-30,Saturday,No,Female,1,1,7,3,Sunny,None,Normal,None,Morning
2016-01-30,Saturday,No,Male,2,2,7,1,Sunny,None,Normal,None,Morning
2016-01-30,Saturday,No,Female,3,1,7,5,Sunny,None,Normal,None,Night
2016-01-30,Saturday,No,Male,3,3,7,2,Sunny,None,Normal,None,Night
2016-01-31,Sunday,No,Female,1,3,7,1,Sunny,None,Normal,None,Evening
2016-01-31,Sunday,No,Male,2,4,7,2,Sunny,None,Normal,None,Evening
2016-01-31,Sunday,No,Female,2,0,7,5,Sunny,None,Normal,None,Morning
2016-01-31,Sunday,No,Male,4,2,7,2,Sunny,None,Normal,None,Morning
2016-01-31,Sunday,No,Female,4,0,7,2,Sunny,None,Normal,None,Night
